발생일시,월별,시간대별,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2023-12-12 06:21:00,12,6,울진,항계 내,36 | 28 | 32,129 | 26 | 4,풍랑경보,정비불량,기타,1,0,0,0,0,0,어선,4.98
2023-12-11 23:22:00,12,23,울진,항계 내,36 | 53 | 26,129 | 25 | 3,풍랑경보,관리소홀,표류,1,0,0,0,0,0,어선,7.93
2023-12-11 17:50:00,12,17,목포,영해,34 | 45 | 53,126 | 19 | 48,풍랑주의보,정비불량,기관손상,1,6,6,0,0,0,어선,61
2023-12-11 10:45:00,12,10,울진,항계 내,37 | 3 | 20,129 | 25 | 10,풍랑주의보,정비불량,침수,1,0,0,0,0,0,어선,0.75
2023-12-11 08:00:00,12,8,제주,영해,33 | 40 | 28,126 | 6 | 25,양호,정비불량,화재,1,7,7,0,0,0,어선,21
2023-12-11 07:44:00,12,7,여수,영해,34 | 34 | 45,127 | 44 | 36,양호,관리소홀,침수,1,0,0,0,0,0,어선,0.82
2023-12-11 06:56:00,12,6,목포,영해,35 | 8 | 45,125 | 30 | 6,황천4급,정비불량,기관손상,1,6,6,0,0,0,화물선,494
2023-12-10 18:28:00,12,18,목포,영해,34 | 40 | 11,125 | 12 | 17,황천4급,정비불량,기관손상,1,13,13,0,0,0,유조선,1993
2023-12-10 17:22:00,12,17,목포,영해,34 | 9 | 5,126 | 3 | 54,황천4급,정비불량,기관손상,1,7,7,0,0,0,화물선,1000
2023-12-10 15:29:00,12,15,제주,영해,33 | 31 | 60,126 | 24 | 32,양호,운항부주의,부유물감김,1,4,4,0,0,0,어선,9.77
2023-12-10 14:00:00,12,14,포항,영해,35 | 41 | 33,129 | 29 | 23,황천6급,원인미상,기관손상,1,7,7,0,0,0,낚시어선,9.77
2023-12-10 13:19:00,12,13,제주,항계 내,33 | 25 | 0,126 | 15 | 42,양호,안전부주의,접촉,1,0,0,0,0,0,어선,139
2023-12-10 12:25:00,12,12,인천,영해,37 | 13 | 18,126 | 28 | 39,양호,기타 ,전복,1,2,2,0,0,0,어선,1.92
2023-12-10 10:24:00,12,10,목포,영해,33 | 59 | 1,124 | 54 | 56,양호,정비불량,기관손상,1,10,10,0,0,0,화물선,3000
2023-12-10 08:40:00,12,8,보령,항계 내,36 | 9 | 24,126 | 30 | 6,양호,관리소홀,침수,1,0,0,0,0,0,어선,20
2023-12-10 08:39:00,12,8,평택,영해,37 | 9 | 55,126 | 36 | 42,양호,정비불량,기관손상,1,2,2,0,0,0,어선,4.29
2023-12-10 08:10:00,12,8,목포,영해,35 | 3 | 22,126 | 1 | 15,양호,운항부주의,부유물감김,1,3,3,0,0,0,예부선,120
