날짜,시도지역코드,발생건수(건)
2023-11-09,48.0,1368.0
2023-11-09,49.0,300.0
2023-11-09,99.0,21021.0
2023-11-10,11.0,4039.0
2023-11-10,26.0,1447.0
2023-11-10,27.0,1071.0
2023-11-10,28.0,1515.0
2023-11-10,29.0,843.0
2023-11-10,30.0,620.0
2023-11-10,31.0,567.0
2023-11-10,41.0,5794.0
2023-11-10,42.0,0.0
2023-11-10,43.0,865.0
2023-11-10,44.0,1400.0
2023-11-10,45.0,1020.0
2023-11-10,46.0,1178.0
2023-11-10,47.0,1167.0
2023-11-10,48.0,1639.0
2023-11-10,49.0,331.0
2023-11-10,99.0,24084.0
2023-11-11,11.0,2813.0
2023-11-11,26.0,1019.0
2023-11-11,27.0,840.0
2023-11-11,28.0,1068.0
2023-11-11,29.0,535.0
2023-11-11,30.0,494.0
2023-11-11,31.0,404.0
2023-11-11,41.0,4295.0
2023-11-11,42.0,0.0
2023-11-11,43.0,527.0
2023-11-11,44.0,1059.0
2023-11-11,45.0,556.0
2023-11-11,46.0,806.0
2023-11-11,47.0,817.0
2023-11-11,48.0,1219.0
2023-11-11,49.0,220.0
2023-11-11,99.0,17017.0
2023-11-12,11.0,277.0
2023-11-12,26.0,71.0
2023-11-12,27.0,92.0
2023-11-12,28.0,350.0
2023-11-12,29.0,61.0
2023-11-12,30.0,141.0
2023-11-12,31.0,17.0
2023-11-12,41.0,1064.0
2023-11-12,43.0,85.0
2023-11-12,44.0,295.0
2023-11-12,45.0,87.0
2023-11-12,46.0,170.0
2023-11-12,47.0,106.0
2023-11-12,48.0,174.0
2023-11-12,49.0,36.0
2023-11-12,99.0,3077.0
2023-11-13,11.0,5137.0
2023-11-13,26.0,1941.0
2023-11-13,27.0,1357.0
2023-11-13,28.0,2058.0
2023-11-13,29.0,988.0
2023-11-13,30.0,910.0
2023-11-13,31.0,716.0
2023-11-13,41.0,7416.0
2023-11-13,42.0,1.0
2023-11-13,43.0,1120.0
2023-11-13,44.0,1881.0
2023-11-13,45.0,1348.0
2023-11-13,46.0,1469.0
2023-11-13,47.0,1651.0
2023-11-13,48.0,2066.0
2023-11-13,49.0,457.0
2023-11-13,99.0,31278.0
2023-11-14,11.0,3825.0
2023-11-14,26.0,1535.0
2023-11-14,27.0,980.0
2023-11-14,28.0,1455.0
2023-11-14,29.0,756.0
2023-11-14,30.0,646.0
2023-11-14,31.0,587.0
2023-11-14,41.0,5901.0
2023-11-14,42.0,0.0
2023-11-14,43.0,818.0
2023-11-14,44.0,1494.0
2023-11-14,45.0,1013.0
2023-11-14,46.0,1131.0
2023-11-14,47.0,1250.0
2023-11-14,48.0,1494.0
2023-11-14,49.0,360.0
2023-11-14,99.0,23908.0
2023-11-15,11.0,3623.0
2023-11-15,26.0,1336.0
2023-11-15,27.0,892.0
2023-11-15,28.0,1329.0
2023-11-15,29.0,660.0
2023-11-15,30.0,634.0
2023-11-15,31.0,466.0
2023-11-15,41.0,5158.0
2023-11-15,42.0,0.0
2023-11-15,43.0,744.0
2023-11-15,44.0,1257.0
2023-11-15,45.0,946.0
2023-11-15,46.0,1033.0
2023-11-15,47.0,1054.0
2023-11-15,48.0,1358.0
2023-11-15,49.0,249.0
2023-11-15,99.0,21267.0
2023-11-16,11.0,3368.0
2023-11-16,26.0,1399.0
2023-11-16,27.0,933.0
2023-11-16,28.0,1388.0
2023-11-16,29.0,614.0
2023-11-16,30.0,601.0
2023-11-16,31.0,473.0
2023-11-16,41.0,5027.0
2023-11-16,42.0,0.0
2023-11-16,43.0,801.0
2023-11-16,44.0,1266.0
2023-11-16,45.0,905.0
2023-11-16,46.0,1033.0
2023-11-16,47.0,1130.0
2023-11-16,48.0,1368.0
2023-11-16,49.0,316.0
2023-11-16,99.0,21166.0
2023-11-17,11.0,4395.0
2023-11-17,26.0,1505.0
2023-11-17,27.0,1121.0
2023-11-17,28.0,1650.0
2023-11-17,29.0,765.0
2023-11-17,30.0,680.0
2023-11-17,31.0,611.0
2023-11-17,41.0,6240.0
2023-11-17,42.0,0.0
2023-11-17,43.0,981.0
2023-11-17,44.0,1574.0
2023-11-17,45.0,1040.0
2023-11-17,46.0,1247.0
2023-11-17,47.0,1255.0
2023-11-17,48.0,1773.0
2023-11-17,49.0,334.0
2023-11-17,99.0,25766.0
2023-11-18,11.0,2752.0
2023-11-18,26.0,959.0
2023-11-18,27.0,781.0
2023-11-18,28.0,1145.0
2023-11-18,29.0,568.0
2023-11-18,30.0,459.0
2023-11-18,31.0,372.0
2023-11-18,41.0,4479.0
2023-11-18,42.0,0.0
2023-11-18,43.0,552.0
2023-11-18,44.0,1064.0
2023-11-18,45.0,569.0
2023-11-18,46.0,795.0
2023-11-18,47.0,817.0
2023-11-18,48.0,1134.0
2023-11-18,49.0,218.0
2023-11-18,99.0,16984.0
2023-11-19,11.0,304.0
2023-11-19,26.0,122.0
2023-11-19,27.0,131.0
2023-11-19,28.0,416.0
2023-11-19,29.0,54.0
2023-11-19,30.0,134.0
2023-11-19,31.0,16.0
2023-11-19,41.0,998.0
2023-11-19,43.0,103.0
2023-11-19,44.0,300.0
2023-11-19,45.0,84.0
2023-11-19,46.0,133.0
2023-11-19,47.0,123.0
2023-11-19,48.0,191.0
2023-11-19,49.0,35.0
2023-11-19,99.0,3200.0
2023-11-20,11.0,5380.0
2023-11-20,26.0,2002.0
2023-11-20,27.0,1376.0
2023-11-20,28.0,2051.0
2023-11-20,29.0,1025.0
2023-11-20,30.0,843.0
2023-11-20,31.0,733.0
2023-11-20,41.0,7587.0
2023-11-20,42.0,0.0
2023-11-20,43.0,1137.0
2023-11-20,44.0,1955.0
2023-11-20,45.0,1415.0
2023-11-20,46.0,1612.0
2023-11-20,47.0,1639.0
2023-11-20,48.0,2190.0
2023-11-20,49.0,489.0
2023-11-20,99.0,32304.0
2023-11-21,11.0,4091.0
2023-11-21,26.0,1577.0
2023-11-21,27.0,1051.0
2023-11-21,28.0,1540.0
2023-11-21,29.0,798.0
2023-11-21,30.0,663.0
2023-11-21,31.0,604.0
2023-11-21,41.0,5987.0
