신고일시,접수일시,수계,지원여부,주소,상세주소,등록일시,수정일자,삭제여부,첨부파일,등록기관
2015-07-17 11:05,2015-07-17 11:10,낙동강,Y,경상북도 영천시 도남공단1길 8 (도남동),,2017-02-09 16:31,2017-02-13 9:35,N,,1.0
2015-07-28 9:00,2015-07-28 9:05,한강,Y,경기도 김포시 고촌읍 전호리 1,,2017-02-09 16:18,2017-02-13 9:29,N,,1.0
2015-08-07 13:00,2015-08-07 13:05,한강,Y,경기도 가평군 가평읍 금대리 520-5,,2017-02-09 15:53,2017-02-13 9:21,N,,1.0
2015-08-13 10:00,2015-08-13 10:05,영산강,Y,광주광역시 북구 대촌동 954,,2017-02-09 15:45,2017-02-10 16:36,N,,1.0
2015-08-13 15:10,2015-08-13 15:11,한강,Y,경기도 안성시 일죽면 화곡리 25-5,청미천,2016-09-02 15:30,2017-02-13 9:15,N,,1.0
2015-08-21 1:50,2015-08-21 1:55,한강,Y,경기도 평택시 세교산단로 17 (세교동),,2017-02-09 15:25,2017-02-10 16:30,N,,1.0
2015-09-08 17:00,2015-09-14 13:27,한강,N,경기도 과천시 과천동 249,과천시 환경사업소 인근,2015-09-14 13:29,2017-02-10 16:27,N,,1.0
2015-09-23 7:30,2015-09-23 7:35,한강,Y,경기도 하남시 상산곡동 268-3,,2017-02-09 15:11,2017-02-10 16:20,N,,1.0
2015-10-07 21:37,2015-10-07 21:40,한강,Y,경기도 용인시 처인구 모현면 오산리 245-2,오산리 포은대로 896 42-37 (주)안전물류센터 옥외저장탱크,2016-08-26 14:16,2017-02-10 16:15,N,,1.0
2015-10-23 15:50,2015-10-23 15:50,영산강,Y,전라남도 나주시 다시면 죽산리 1052-2,죽산보 우안 하류 2km,2016-08-24 16:13,2017-02-10 16:07,N,,1.0
2015-11-11 15:33,2015-11-11 15:33,한강,Y,경기도 용인시 처인구 남사면 진목리 873-1,,2016-08-24 15:37,2017-02-10 15:44,N,,1.0
2015-11-11 16:00,2015-11-11 16:05,한강,,경기도 용인시 처인구 남사면 진목리 873-1,,2017-02-09 14:17,2017-02-09 14:17,Y,,1.0
2015-11-26 6:40,2015-11-26 6:45,한강,,경기도 광주시 쌍령동 113-8,,2017-02-09 13:58,2017-02-09 13:58,Y,,1.0
2015-11-26 15:23,2015-11-26 15:23,한강,Y,경기도 광주시 쌍령동 113-8,,2016-08-24 15:29,2017-02-10 15:26,N,,1.0
2016-01-26 14:30,2016-01-26 14:35,한강,Y,서울특별시 광진구 자양동 6-1,,2016-06-13 13:44,2017-02-10 15:07,N,,1.0
2016-01-31 9:40,2016-01-31 9:48,한강,Y,경기도 김포시 고촌읍 신곡리 188-5,김포 아라마리나 선착장,2016-06-13 13:49,2017-02-10 14:58,N,,1.0
2016-03-07 14:30,2017-02-07 14:46,한강,Y,경기도 평택시 포승읍 원정리 1180,인근 배수로(발안천),2017-02-07 14:51,2017-02-07 14:56,Y,,1.0
2016-03-09 14:30,2016-03-09 14:35,한강,Y,경기도 평택시 포승읍 원정리 1180,포승공단 내 배수로(발안천),2017-02-07 14:59,2017-02-10 14:52,N,,1.0
2016-03-13 22:52,2016-03-14 10:00,한강,Y,경기도 용인시 처인구 모현면 포은대로896번길 42-37,(주)안전물류센터,2017-02-07 15:14,2017-02-10 14:48,N,,1.0
2016-04-02 18:51,2017-02-07 18:53,한강,,경기도 광주시 초월읍 대쌍령리 396-7,서울상사(주),2017-02-07 16:59,2017-02-07 16:59,Y,,1.0
2016-04-02 18:51,2016-04-02 18:55,한강,Y,경기도 광주시 초월읍 대쌍령리 396-7,서울상사(주),2017-02-07 17:01,2017-02-10 14:43,N,,1.0
2016-04-12 13:15,2016-04-12 13:33,낙동강,Y,경상북도 칠곡군 석적읍 남율리 775-14,경부고속도로 상행선 낙동강교 위,2017-02-07 17:13,2017-02-10 14:23,N,,1.0
2016-05-17 9:10,2016-05-17 9:20,영산강,Y,광주광역시 광산구 안청동 730-23,도천교 인근(하남산단 내 풍영정천 일대),2017-02-08 14:09,2017-02-10 14:20,N,,1.0
2016-05-17 22:40,2016-05-17 22:41,낙동강,Y,경상남도 사천시 곤양면 서정리 947,고속도로 인근 국도변,2017-02-07 17:45,2017-02-10 14:17,N,,1.0
2016-05-20 12:30,2016-05-20 12:35,낙동강,Y,대구광역시 동구 괴전동 300-3,대림육교 부근,2017-02-08 15:09,2017-02-10 14:05,N,,1.0
2016-06-01 23:00,2016-06-01 11:30,낙동강,Y,경상북도 고령군 다산면 송곡리 1494-4,다산산업단지,2016-06-13 11:03,2017-02-10 14:01,N,,1.0
2016-06-28 9:00,2016-06-28 9:05,낙동강,Y,경상북도 칠곡군 왜관읍 왜관리 788-1,제2왜관교 좌안,2017-02-08 15:46,2017-02-10 13:46,N,,1.0
