조사년도,해역,연안명칭,수온 표층,수온 저층,염분 표층,염분 저층,수소이온농도 표층,수소이온농도 저층,용존산소량 표층,용존산소량 저층,화학적산소요구량 표층,화학적산소요구량 저층,암모니아질소 표층,암모니아질소 저층,아질산성 질소 표층,아질산성 질소 저층,질산성질소 표층,질산성질소 저층,용존무기질소 표층,용존무기질소 저층,총질소 표층,총질소 저층,용존무기인 표층,용존무기인 저층,총인 표층,총인 저층,규산규소 표층,규산규소 저층,부유물질 표층,부유물질 저층,클로로필 표층,클로로필 저층,투명도 표층
2021,남해,통영외안,18.04,16.1,33.2,33.72,8.13,8.07,8.34,7.25,1.58,1.76,2.34,13.57,3.3,5.74,36.28,60.56,41.92,79.87,146.31,186.24,7.68,13.95,21.05,24.58,213.06,390.18,11.22,17.2,1.73,1.61,5.38
2021,남해,고성자란만,18.51,17.24,32.73,32.89,8.04,8.07,8.38,7.97,1.5,2.0,9.14,29.7,1.61,2.74,18.65,30.75,29.39,63.19,165.31,173.39,8.42,11.22,25.53,23.85,260.09,349.25,8.17,12.26,1.87,2.03,5.06
2021,남해,사천연안,18.01,16.92,32.79,33.01,8.09,8.1,8.04,7.4,1.95,1.8,8.14,20.8,3.56,4.98,20.85,27.96,32.55,53.74,186.77,176.26,9.98,11.91,24.28,25.68,226.26,301.95,11.66,16.28,2.09,2.01,3.83
2021,남해,진주만,18.42,17.94,32.12,32.33,8.02,8.03,7.92,7.63,1.98,1.85,10.19,20.37,5.32,6.0,18.12,18.11,33.62,44.5,209.9,189.63,12.33,14.97,35.24,31.73,383.96,394.48,9.25,10.84,4.9,3.8,1.88
2021,남해,남해도남안,18.47,15.94,32.99,33.62,8.14,8.11,8.21,6.88,1.17,1.1,5.15,9.66,4.0,7.32,33.88,62.73,43.03,79.7,146.75,175.75,6.12,14.5,18.83,26.28,195.23,381.4,8.08,16.27,1.55,1.47,4.37
2021,남해,광양만,18.42,17.35,31.73,32.26,8.13,8.1,8.22,7.46,1.99,1.88,25.41,43.05,12.88,15.31,45.69,45.71,83.99,104.07,239.48,250.37,15.54,19.25,39.13,40.13,312.12,389.18,9.76,13.14,3.64,2.86,2.45
2021,남해,여수연안,18.12,16.75,32.35,32.84,8.13,8.1,8.55,7.0,1.83,1.67,9.55,28.67,9.21,12.65,28.09,31.06,46.84,72.39,181.36,202.57,9.5,13.31,26.88,30.55,222.3,406.88,9.55,14.75,3.12,2.2,3.68
2021,남해,가막만,18.2,17.83,32.64,32.67,8.13,8.12,8.4,8.14,1.63,1.6,16.46,24.59,4.75,5.66,24.5,30.3,45.71,60.53,175.84,188.77,8.04,10.21,26.13,27.37,256.84,298.36,12.38,16.32,2.6,2.46,3.2
2021,남해,여자만,18.27,17.92,31.55,31.73,8.06,8.09,8.68,8.34,2.6,2.57,9.66,18.36,2.56,2.22,25.67,14.02,37.87,34.6,225.29,247.59,11.09,11.72,47.04,47.99,490.08,465.18,39.18,52.42,4.73,3.88,1.08
2021,남해,고흥연안,17.75,17.19,32.71,32.79,8.12,8.13,8.4,8.08,1.45,1.67,5.6,11.34,8.74,9.26,38.38,41.88,52.71,62.5,159.96,173.85,9.58,10.31,24.72,27.07,277.51,291.0,31.4,38.98,1.71,1.92,2.38
2021,남해,득량만,17.77,17.21,32.08,32.4,8.12,8.11,8.54,8.37,1.59,1.59,8.8,25.19,9.82,7.49,28.05,26.65,46.66,59.32,164.38,181.09,12.99,11.78,28.52,29.09,324.97,332.65,25.01,30.26,2.04,2.22,2.69
2021,제주,제주연안,19.46,18.78,33.27,33.58,8.21,8.19,8.42,8.27,0.98,1.09,14.27,12.3,2.75,3.7,36.48,49.37,53.5,65.35,142.57,170.65,5.05,6.49,13.18,14.98,176.03,177.32,30.96,23.4,1.28,1.04,9.97
2021,제주,조천연안,19.22,17.76,33.32,33.91,8.21,8.17,8.42,8.21,1.08,1.06,7.51,11.01,2.93,3.55,36.74,54.84,47.19,69.4,154.89,158.2,5.35,8.25,13.49,16.87,137.59,234.24,27.92,23.37,1.84,1.01,9.67
2021,제주,성산연안,19.16,17.98,33.57,33.97,8.22,8.18,8.83,8.01,1.2,1.01,13.06,5.91,2.41,3.86,27.45,51.65,42.93,61.42,140.23,159.18,4.11,7.31,11.61,15.51,133.1,198.78,25.66,23.58,1.13,0.83,10.19
2021,제주,표선연안,19.44,18.61,33.54,33.87,8.25,8.21,8.88,8.25,1.3,1.11,8.57,12.67,2.58,3.67,37.08,53.99,48.23,70.33,165.41,188.91,5.09,8.2,15.63,16.54,195.97,212.29,25.46,26.4,2.04,0.99,9.5
2021,제주,서귀포연안,19.73,18.55,33.61,33.93,8.21,8.16,8.95,8.38,1.21,0.9,6.89,7.65,2.58,2.82,56.32,51.84,65.79,62.31,150.43,143.36,4.69,8.76,10.95,14.53,260.36,212.4,26.1,27.64,1.26,0.69,10.88
2021,제주,대정연안,19.31,18.34,33.66,33.96,8.16,8.15,8.51,8.57,0.99,0.86,15.26,14.53,2.88,3.28,42.31,60.29,60.45,78.11,159.36,184.12,5.69,8.6,12.47,15.74,152.71,209.71,28.69,27.63,1.13,0.48,11.25
2021,제주,한림연안,19.23,18.81,33.52,33.72,8.18,8.17,8.64,8.51,1.22,1.05,18.62,20.73,3.01,3.26,50.39,62.1,72.02,86.08,148.31,167.04,7.15,8.76,13.03,14.87,191.5,214.02,26.28,25.75,0.61,0.43,10.44
2021,남해,완도연안,17.14,16.07,32.68,32.97,8.16,8.15,8.16,7.93,1.3,1.47,19.38,19.51,5.61,6.78,59.94,63.68,84.93,89.97,195.6,187.96,13.4,13.33,26.49,29.7,309.21,295.49,9.28,14.52,0.91,0.85,2.57
2021,남해,도암만,17.99,17.7,30.97,31.53,8.08,8.08,8.42,8.1,1.95,2.01,55.32,46.56,7.73,6.95,89.72,63.63,152.77,117.13,323.36,269.12,25.53,22.68,48.06,48.42,711.4,632.56,10.63,15.0,3.95,3.46,1.39
2021,남해,진도연안,16.78,16.26,32.17,32.3,8.09,8.11,8.51,8.2,1.65,1.54,12.5,12.41,3.98,5.64,81.94,93.06,98.43,111.11,217.69,217.65,13.17,14.81,30.41,33.37,311.59,334.78,24.31,37.2,1.38,1.17,1.37
2021,남해,신항연안,17.18,16.67,32.49,32.78,8.1,8.1,7.49,7.15,1.91,2.01,32.84,37.97,7.94,10.07,67.03,71.62,107.79,119.66,250.7,229.65,15.8,17.7,31.78,28.37,277.83,372.9,11.56,15.93,2.29,1.72,1.84
2021,서해,해남만,17.27,17.09,29.14,29.99,8.0,8.01,9.07,9.06,1.56,1.79,22.08,19.41,11.01,9.64,162.39,88.77,195.48,117.82,337.08,305.57,15.57,17.39,30.87,29.79,270.71,257.09,12.78,13.21,2.31,3.26,1.83
2021,서해,목포연안,17.26,17.14,28.38,30.29,7.94,7.95,8.74,8.7,1.88,1.55,53.66,42.53,23.94,15.86,359.89,129.18,437.51,187.57,637.91,302.65,15.59,17.67,36.95,36.26,361.8,305.59,15.7,19.33,2.3,2.19,1.62
2021,서해,신안연안,16.68,16.6,31.59,31.66,7.95,7.97,8.6,8.78,1.62,1.64,14.11,12.93,4.9,5.0,90.78,98.73,109.8,116.65,257.86,245.93,14.57,15.88,34.06,31.97,265.95,286.84,57.88,76.98,1.04,1.27,0.99
2021,서해,무안연안,17.19,17.16,31.02,31.03,7.95,7.96,8.57,8.64,1.69,1.91,28.33,24.39,9.23,9.24,113.16,111.58,150.73,145.21,262.95,273.14,15.57,15.46,36.41,37.12,325.94,320.31,44.8,55.23,1.67,1.5,1.05
2021,서해,함평연안,15.76,15.57,31.31,31.36,8.09,8.1,8.77,8.59,1.83,2.22,36.74,36.68,4.89,4.86,78.77,70.81,120.4,112.35,261.02,282.78,16.78,15.68,36.84,41.21,332.31,301.66,23.95,68.38,1.74,1.76,1.44
2021,서해,고창연안,16.6,16.49,31.26,31.28,7.86,7.9,8.97,9.28,2.03,2.43,29.46,31.0,5.09,5.12,54.0,54.84,88.55,90.97,260.97,280.58,13.42,13.42,39.22,42.65,257.66,262.76,52.4,78.17,2.48,3.61,1.04
2021,서해,전주포연안,15.34,15.42,30.96,31.03,7.95,7.96,9.25,9.34,1.97,2.14,16.87,18.14,7.81,8.28,50.22,51.23,74.91,77.65,258.95,261.37,11.61,11.83,34.46,32.84,218.51,219.78,11.64,14.52,2.81,3.54,2.51
2021,서해,군산연안,15.86,16.03,29.11,29.64,7.87,7.88,9.08,9.01,2.47,2.48,50.06,47.03,12.84,11.93,165.49,142.37,228.39,201.33,423.18,389.58,18.08,17.6,42.6,40.97,332.22,324.65,19.62,29.58,2.68,4.37,1.72
2021,서해,보령연안,15.18,15.27,31.45,31.45,7.92,7.94,8.63,8.66,1.45,1.86,12.93,12.43,7.29,6.68,56.49,54.18,76.72,73.28,236.64,241.25,14.82,14.27,28.53,27.99,253.08,245.41,14.95,18.52,2.05,1.97,2.03
2021,서해,천수만,15.37,15.57,31.29,31.33,7.88,7.86,9.4,9.08,2.06,1.87,16.3,28.08,5.15,4.97,33.52,33.27,54.96,66.31,232.54,232.58,14.21,15.4,37.26,35.82,288.07,288.34,15.51,19.1,4.25,3.57,1.79
2021,서해,태안연안,14.19,14.36,31.49,31.48,7.82,7.85,9.1,9.19,1.67,1.39,7.91,8.37,3.33,3.32,81.37,81.43,92.6,93.13,243.43,242.84,14.62,14.76,30.87,28.95,254.54,253.05,16.63,15.9,1.58,1.9,2.28
