날짜,시도지역코드,발생건수(건)
2023-11-08,26.0,2374.0
2023-11-08,27.0,2094.0
2023-11-08,28.0,1728.0
2023-11-08,29.0,775.0
2023-11-08,30.0,1091.0
2023-11-08,31.0,615.0
2023-11-08,41.0,8821.0
2023-11-08,42.0,0.0
2023-11-08,43.0,1081.0
2023-11-08,44.0,1509.0
2023-11-08,45.0,1463.0
2023-11-08,46.0,1213.0
2023-11-08,47.0,1931.0
2023-11-08,48.0,2120.0
2023-11-08,49.0,563.0
2023-11-08,99.0,34764.0
2023-11-09,11.0,6577.0
2023-11-09,26.0,2417.0
2023-11-09,27.0,2129.0
2023-11-09,28.0,1572.0
2023-11-09,29.0,817.0
2023-11-09,30.0,1098.0
2023-11-09,31.0,604.0
2023-11-09,41.0,9292.0
2023-11-09,42.0,0.0
2023-11-09,43.0,1040.0
2023-11-09,44.0,1708.0
2023-11-09,45.0,1547.0
2023-11-09,46.0,1205.0
2023-11-09,47.0,1949.0
2023-11-09,48.0,2288.0
2023-11-09,49.0,597.0
2023-11-09,99.0,35859.0
2023-11-10,11.0,7452.0
2023-11-10,26.0,2746.0
2023-11-10,27.0,2331.0
2023-11-10,28.0,1986.0
2023-11-10,29.0,882.0
2023-11-10,30.0,1237.0
2023-11-10,31.0,632.0
2023-11-10,41.0,10673.0
2023-11-10,42.0,0.0
2023-11-10,43.0,1173.0
2023-11-10,44.0,1769.0
2023-11-10,45.0,1699.0
2023-11-10,46.0,1434.0
2023-11-10,47.0,2087.0
2023-11-10,48.0,2524.0
2023-11-10,49.0,734.0
2023-11-10,99.0,40495.0
2023-11-11,11.0,4916.0
2023-11-11,26.0,1724.0
2023-11-11,27.0,1497.0
2023-11-11,28.0,1433.0
2023-11-11,29.0,620.0
2023-11-11,30.0,805.0
2023-11-11,31.0,463.0
2023-11-11,41.0,7349.0
2023-11-11,42.0,0.0
2023-11-11,43.0,753.0
2023-11-11,44.0,1206.0
2023-11-11,45.0,996.0
2023-11-11,46.0,888.0
2023-11-11,47.0,1141.0
2023-11-11,48.0,1498.0
2023-11-11,49.0,307.0
2023-11-11,99.0,26186.0
2023-11-12,11.0,287.0
2023-11-12,26.0,45.0
2023-11-12,27.0,34.0
2023-11-12,28.0,91.0
2023-11-12,29.0,69.0
2023-11-12,30.0,44.0
2023-11-12,31.0,25.0
2023-11-12,41.0,624.0
2023-11-12,43.0,38.0
2023-11-12,44.0,74.0
2023-11-12,45.0,29.0
2023-11-12,46.0,48.0
2023-11-12,47.0,52.0
2023-11-12,48.0,54.0
2023-11-12,49.0,62.0
2023-11-12,99.0,1604.0
2023-11-13,11.0,9014.0
2023-11-13,26.0,3204.0
2023-11-13,27.0,2652.0
2023-11-13,28.0,2343.0
2023-11-13,29.0,1151.0
2023-11-13,30.0,1363.0
2023-11-13,31.0,759.0
2023-11-13,41.0,12436.0
2023-11-13,42.0,0.0
2023-11-13,43.0,1410.0
2023-11-13,44.0,1998.0
2023-11-13,45.0,2013.0
2023-11-13,46.0,1601.0
2023-11-13,47.0,2380.0
2023-11-13,48.0,2729.0
2023-11-13,49.0,756.0
2023-11-13,99.0,47171.0
2023-11-14,11.0,7317.0
2023-11-14,26.0,2694.0
2023-11-14,27.0,2310.0
2023-11-14,28.0,1904.0
2023-11-14,29.0,902.0
2023-11-14,30.0,1099.0
2023-11-14,31.0,671.0
2023-11-14,41.0,10203.0
2023-11-14,42.0,1.0
2023-11-14,43.0,1206.0
2023-11-14,44.0,1665.0
2023-11-14,45.0,1714.0
2023-11-14,46.0,1431.0
2023-11-14,47.0,2082.0
2023-11-14,48.0,2405.0
2023-11-14,49.0,592.0
2023-11-14,99.0,39337.0
2023-11-15,11.0,6448.0
2023-11-15,26.0,2424.0
2023-11-15,27.0,1977.0
2023-11-15,28.0,1786.0
2023-11-15,29.0,833.0
2023-11-15,30.0,1031.0
2023-11-15,31.0,573.0
2023-11-15,41.0,9010.0
2023-11-15,42.0,0.0
2023-11-15,43.0,1066.0
2023-11-15,44.0,1372.0
2023-11-15,45.0,1467.0
2023-11-15,46.0,1208.0
2023-11-15,47.0,1856.0
2023-11-15,48.0,2219.0
2023-11-15,49.0,553.0
2023-11-15,99.0,34786.0
2023-11-16,11.0,5849.0
2023-11-16,26.0,2192.0
2023-11-16,27.0,1847.0
2023-11-16,28.0,1484.0
2023-11-16,29.0,720.0
2023-11-16,30.0,972.0
2023-11-16,31.0,538.0
2023-11-16,41.0,7995.0
2023-11-16,42.0,0.0
2023-11-16,43.0,893.0
2023-11-16,44.0,1490.0
2023-11-16,45.0,1328.0
2023-11-16,46.0,1178.0
2023-11-16,47.0,1932.0
2023-11-16,48.0,2060.0
2023-11-16,49.0,561.0
2023-11-16,99.0,32080.0
2023-11-17,11.0,7648.0
2023-11-17,26.0,2812.0
2023-11-17,27.0,2226.0
2023-11-17,28.0,1936.0
2023-11-17,29.0,919.0
2023-11-17,30.0,1194.0
2023-11-17,31.0,647.0
2023-11-17,41.0,10357.0
2023-11-17,42.0,0.0
2023-11-17,43.0,1190.0
2023-11-17,44.0,1598.0
2023-11-17,45.0,1622.0
2023-11-17,46.0,1328.0
2023-11-17,47.0,2319.0
2023-11-17,48.0,2603.0
2023-11-17,49.0,641.0
2023-11-17,99.0,40251.0
2023-11-18,11.0,4891.0
2023-11-18,26.0,1704.0
2023-11-18,27.0,1330.0
2023-11-18,28.0,1320.0
2023-11-18,29.0,603.0
2023-11-18,30.0,699.0
2023-11-18,31.0,417.0
2023-11-18,41.0,7119.0
2023-11-18,42.0,0.0
2023-11-18,43.0,744.0
2023-11-18,44.0,1101.0
2023-11-18,45.0,968.0
2023-11-18,46.0,756.0
2023-11-18,47.0,1202.0
2023-11-18,48.0,1610.0
2023-11-18,49.0,316.0
2023-11-18,99.0,25427.0
2023-11-19,11.0,324.0
2023-11-19,26.0,47.0
2023-11-19,27.0,37.0
2023-11-19,28.0,94.0
2023-11-19,29.0,42.0
2023-11-19,30.0,47.0
2023-11-19,31.0,20.0
2023-11-19,41.0,657.0
2023-11-19,43.0,32.0
2023-11-19,44.0,65.0
2023-11-19,45.0,34.0
2023-11-19,46.0,42.0
2023-11-19,47.0,33.0
2023-11-19,48.0,81.0
2023-11-19,49.0,94.0
2023-11-19,99.0,1671.0
2023-11-20,11.0,9059.0
2023-11-20,26.0,3197.0
2023-11-20,27.0,2796.0
2023-11-20,28.0,2342.0
2023-11-20,29.0,1103.0
2023-11-20,30.0,1452.0
2023-11-20,31.0,800.0
2023-11-20,41.0,12825.0
2023-11-20,42.0,1.0
2023-11-20,43.0,1456.0
2023-11-20,44.0,2082.0
2023-11-20,45.0,2055.0
2023-11-20,46.0,1767.0
2023-11-20,47.0,2546.0
2023-11-20,48.0,2818.0
2023-11-20,49.0,849.0
2023-11-20,99.0,48612.0
2023-11-21,11.0,7423.0
2023-11-21,26.0,2698.0
2023-11-21,27.0,2236.0
2023-11-21,28.0,1956.0
2023-11-21,29.0,951.0
2023-11-21,30.0,1102.0
2023-11-21,31.0,631.0
2023-11-21,41.0,10404.0
2023-11-21,42.0,0.0
2023-11-21,43.0,1283.0
2023-11-21,44.0,1719.0
2023-11-21,45.0,1597.0
2023-11-21,46.0,1502.0
2023-11-21,47.0,2070.0
2023-11-21,48.0,2398.0
2023-11-21,49.0,622.0
2023-11-21,99.0,39750.0
2023-11-22,11.0,6388.0
2023-11-22,26.0,2361.0
2023-11-22,27.0,1996.0
2023-11-22,28.0,1725.0
2023-11-22,29.0,793.0
2023-11-22,30.0,993.0
2023-11-22,31.0,570.0
2023-11-22,41.0,8958.0
2023-11-22,42.0,0.0
2023-11-22,43.0,1137.0
2023-11-22,44.0,1440.0
