업종명,신고일자,업소명,영업소 주소(도로명),영업소 주소(지번)
일반미용업,2012-06-01,이벤트헤어샾,"전라남도 여수시 장성마을길 5-1, 1층 (안산동)",전라남도 여수시 안산동 700-3 1층 
일반미용업,2012-06-07,김겸 헤어포레,전라남도 여수시 대학로 13 (미평동),전라남도 여수시 미평동 759-6 
일반미용업,2012-07-31,헤어루야,전라남도 여수시 대통로 43 (화장동),전라남도 여수시 화장동 862-9 
일반미용업,2012-08-21,Mr.클럽,전라남도 여수시 무선중앙로 50 (선원동),전라남도 여수시 선원동 1244-1 
일반미용업,2012-10-25,르본미용실,전라남도 여수시 통제영2길 12-17 (교동),전라남도 여수시 교동 296 2층 
일반미용업,2012-11-05,뽀꼬까꼬,전라남도 여수시 무선2길 27 (선원동),전라남도 여수시 선원동 1256 1층6호 
일반미용업,2012-11-29,정연헤어샵,"전라남도 여수시 학동서5길 6, 105호 (학동)",전라남도 여수시 학동 58-18 
일반미용업,2012-12-21,버블헤어,"전라남도 여수시 소호4길 13-1, 1층 (소호동)",전라남도 여수시 소호동 355-21 1층 
일반미용업,2012-07-03,퀸 헤어,"전라남도 여수시 종고산길 7, 1층 (덕충동)",전라남도 여수시 덕충동 1566-4 
일반미용업,2012-06-07,꽃길헤어,"전라남도 여수시 성산6길 27, 1층 (화장동)",전라남도 여수시 화장동 763-8 
일반미용업,2012-12-17,나드리,"전라남도 여수시 무선5길 50-1, 1층 (선원동)",전라남도 여수시 선원동 1284-7 
일반미용업,2013-02-15,체인지미,"전라남도 여수시 무선로 251-38, 1층 (화장동)",전라남도 여수시 화장동 944-69 
일반미용업,2013-03-19,유 앤 헤어,전라남도 여수시 안산3길 8 (안산동),전라남도 여수시 안산동 468-11 
일반미용업,2013-05-27,37번가 헤어 스튜디오,"전라남도 여수시 예울마루로 41, 1층 103호 (웅천동)",전라남도 여수시 웅천동 1695-2 1층 103호
일반미용업,2013-07-05,화일미용실,전라남도 여수시 교동북3길 9-3 (충무동),전라남도 여수시 충무동 256-1 
일반미용업,2013-08-23,정윤희 헤어샵,전라남도 여수시 선원2길 2 (선원동),전라남도 여수시 선원동 138-2 
일반미용업,2013-09-04,김동주네일,전라남도 여수시 신기남1길 30-9 (신기동),전라남도 여수시 신기동 111-3 
일반미용업,2013-09-24,까꼬뽀꼬 헤어샵,"전라남도 여수시 좌수영로 682-23, 105-1호 (봉계동)",전라남도 여수시 봉계동 32-1 105-1호
일반미용업,2013-10-07,신화헤어,전라남도 여수시 선소로 72-28 (신기동),전라남도 여수시 신기동 140 신화아파트 상가동 2층1호
일반미용업,2013-12-24,개성미용실,전라남도 여수시 율촌면 당머리길 3-1,전라남도 여수시 율촌면 조화리 260-19 
일반미용업,2013-12-27,엘르,"전라남도 여수시 양지3길 8, 1층 (미평동)",전라남도 여수시 미평동 703-7 
일반미용업,2013-12-30,문현헤어#,전라남도 여수시 소라면 죽림로 73,전라남도 여수시 소라면 죽림리 1139-2 
일반미용업,2014-01-14,JK헤어샵,전라남도 여수시 소라면 죽림로 29,전라남도 여수시 소라면 죽림리 1198-8 
일반미용업,2014-01-20,라벨르 헤어스토리,"전라남도 여수시 소라면 죽림로 33, 2층",전라남도 여수시 소라면 죽림리 1198-6 
일반미용업,2014-03-07,엘림미용실,"전라남도 여수시 학동1길 10, 진남시장 107호 108호 (학동)",전라남도 여수시 학동 35-1 진남시장 
일반미용업,2014-04-08,시니헤어스토리,전라남도 여수시 문수로 161 (문수동),전라남도 여수시 문수동 81-2 
일반미용업,2014-05-20,수빈 헤어,전라남도 여수시 좌수영로 17 (서교동),전라남도 여수시 서교동 333 
일반미용업,2014-05-28,헤어스토리,전라남도 여수시 신기남1길 26 (신기동),전라남도 여수시 신기동 112-8 
일반미용업,2014-06-18,지은 헤어#,"전라남도 여수시 봉산남1길 12-1, 1층 (봉산동)",전라남도 여수시 봉산동 253-1 
일반미용업,2014-06-23,자연미헤어,전라남도 여수시 신기남3길 28-8 (신기동),전라남도 여수시 신기동 63-14 
일반미용업,2014-06-26,민들레헤어,전라남도 여수시 충무로 26 (교동),전라남도 여수시 교동 678-37 
일반미용업,2014-06-30,예작헤어살롱,전라남도 여수시 웅천중앙로 77 (웅천동),전라남도 여수시 웅천동 1665-1 
일반미용업,2014-07-14,경남미용실,"전라남도 여수시 여서로 304, 상가동 3층 3호 (여서동, 경남1차아파트)",전라남도 여수시 여서동 43-12 경남1차아파트 
일반미용업,2014-07-17,양쌤묭실,"전라남도 여수시 박람회길 70, 상가1동 1층 C110호 (덕충동, 여수엑스포시티프라디움1단지)",전라남도 여수시 덕충동 2033 여수엑스포시티프라디움1단지 
일반미용업,2014-08-26,지혜미용실,"전라남도 여수시 학동2길 7-4, A동 10, 11호 (학동, 제일시장)",전라남도 여수시 학동 35-2 
일반미용업,2014-09-22,까꼬뽀꼬,전라남도 여수시 소라면 덕양로 462-1,전라남도 여수시 소라면 덕양리 1309-4 
일반미용업,2014-09-24,봉쌤헤어,전라남도 여수시 진남상가길 33-11 (교동),전라남도 여수시 교동 260 
일반미용업,2014-09-26,승도리샵,전라남도 여수시 신기남1길 30-11 (신기동),전라남도 여수시 신기동 111-2 
일반미용업,2014-10-08,뜰안애,"전라남도 여수시 미평9길 11, 101호 (미평동)",전라남도 여수시 미평동 696-12 101호
일반미용업,2014-10-13,진아미용실,전라남도 여수시 어항로 16 (국동),전라남도 여수시 국동 2-5 
일반미용업,2014-10-17,꽃밭미용실,"전라남도 여수시 미평로 77, 상가동 1층 111호 (미평동, 미평주공아파트)",전라남도 여수시 미평동 284 상가동 111호
일반미용업,2014-11-11,소희,전라남도 여수시 여서로 146 (여서동),전라남도 여수시 여서동 490-1 
