관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,광산구 송정동 763-3,,1,200만,360도,30일,2024,35.141233,126.797792,2024-06-30
광주광역시 사회재난과,광산구 송정동 809-14,광산구 내상로 39,2,200만,360도,30일,2022,35.138612,126.797159,2024-06-30
광주광역시 사회재난과,광산구 송정동 817-2,,2,200만,360도,30일,2019,35.137443,126.794579,2024-06-30
광주광역시 사회재난과,광산구 송정동 817-2,,1,200만,360도,30일,2022,35.137443,126.794579,2024-06-30
광주광역시 사회재난과,광산구 송정동 817-2,,1,200만,360도,30일,2023,35.137443,126.794579,2024-06-30
광주광역시 사회재난과,광산구 송정동 871-8,광산구 송정로30번길 16,1,200만,360도,30일,2019,35.135634,126.793599,2024-06-30
광주광역시 사회재난과,광산구 송정동 871-8,광산구 송정로30번길 16,1,200만,360도,30일,2021,35.135634,126.793599,2024-06-30
광주광역시 사회재난과,광산구 송정동 871-8,광산구 송정로30번길 16,1,200만,360도,30일,2022,35.135634,126.793599,2024-06-30
광주광역시 사회재난과,광산구 송정동 871-8,광산구 송정로30번길 16,1,200만,360도,30일,2024,35.135634,126.793599,2024-06-30
광주광역시 사회재난과,광산구 송정동 880-2,광산구 송정로51번길 15,2,200만,360도,30일,2019,35.135962,126.796882,2024-06-30
광주광역시 사회재난과,광산구 송정동 880-2,광산구 송정로51번길 15,1,200만,360도,30일,2022,35.135962,126.796882,2024-06-30
광주광역시 사회재난과,광산구 송정동 880-2,광산구 송정로51번길 15,1,200만,360도,30일,2024,35.135962,126.796882,2024-06-30
광주광역시 사회재난과,광산구 송정동 985-37,광산구 송정로8번길 40,2,200만,360도,30일,2019,35.135417,126.791121,2024-06-30
광주광역시 사회재난과,광산구 송정동 985-37,광산구 송정로8번길 40,1,200만,360도,30일,2021,35.135417,126.791121,2024-06-30
광주광역시 사회재난과,광산구 송정동 985-37,광산구 송정로8번길 40,1,200만,360도,30일,2024,35.135417,126.791121,2024-06-30
광주광역시 사회재난과,광산구 수완동 1475,광산구 임방울대로 330,1,200만,360도,30일,2020,35.189491,126.823978,2024-06-30
광주광역시 사회재난과,광산구 수완동 1475,광산구 임방울대로 330,1,200만,360도,30일,2018,35.189491,126.823978,2024-06-30
광주광역시 사회재난과,광산구 수완동 1475,광산구 임방울대로 330,1,200만,360도,30일,2024,35.189491,126.823978,2024-06-30
광주광역시 사회재난과,광산구 수완동 732,광산구 하완길 19,1,200만,360도,30일,2020,35.202151,126.82547,2024-06-30
광주광역시 사회재난과,광산구 수완동 732,광산구 하완길 19,1,200만,360도,30일,2024,35.202151,126.82547,2024-06-30
광주광역시 사회재난과,광산구 신가동 1015-7,광산구 수등로258번길 2,1,200만,360도,30일,2022,35.184642,126.837122,2024-06-30
광주광역시 사회재난과,광산구 신가동 1015-7,광산구 수등로258번길 2,3,200만,360도,30일,2024,35.184642,126.837122,2024-06-30
광주광역시 사회재난과,광산구 신가동 303-3,,2,200만,360도,30일,2020,35.181465,126.83631,2024-06-30
광주광역시 사회재난과,광산구 신가동 303-3,,1,200만,360도,30일,2018,35.181465,126.83631,2024-06-30
광주광역시 사회재난과,광산구 도산동 777-1,,1,200만,360도,30일,2023,35.129785,126.79323,2024-06-30
광주광역시 사회재난과,광산구 도산동 777-1,,1,200만,360도,30일,2024,35.129785,126.79323,2024-06-30
광주광역시 사회재난과,광산구 송정동 915-25,광산구 신도산길 27-12,1,200만,360도,30일,2019,35.132168,126.789244,2024-06-30
광주광역시 사회재난과,광산구 송정동 915-25,광산구 신도산길 27-12,1,200만,360도,30일,2024,35.132168,126.789244,2024-06-30
광주광역시 사회재난과,광산구 신가동 966-7,광산구 목련로397번안길 16,1,200만,360도,30일,2019,35.183393,126.832025,2024-06-30
광주광역시 사회재난과,광산구 신가동 966-7,광산구 목련로397번안길 16,2,200만,360도,30일,2024,35.183393,126.832025,2024-06-30
광주광역시 사회재난과,광산구 신룡동 486-4,,1,200만,360도,30일,2022,35.210437,126.761142,2024-06-30
광주광역시 사회재난과,광산구 신룡동 486-4,,2,200만,360도,30일,2024,35.210437,126.761142,2024-06-30
광주광역시 사회재난과,광산구 신창동 1075-2,광산구 구촌반촌길 242,3,200만,360도,30일,2024,35.19104,126.849942,2024-06-30
광주광역시 사회재난과,광산구 신창동 1207-6,광산구 신창로36번길 28,2,200만,360도,30일,2022,35.188358,126.83839,2024-06-30
광주광역시 사회재난과,광산구 신창동 1110,광산구 신창로161번길 34,2,200만,360도,30일,2022,35.200211,126.839703,2024-06-30
광주광역시 사회재난과,광산구 신창동 1112,,2,200만,360도,30일,2019,35.199331,126.838514,2024-06-30
광주광역시 사회재난과,광산구 신창동 1112,,1,200만,360도,30일,2022,35.199331,126.838514,2024-06-30
광주광역시 사회재난과,광산구 신창동 1112,,1,200만,360도,30일,2023,35.199331,126.838514,2024-06-30
광주광역시 사회재난과,광산구 신창동 1136-1,광산구 신창로138번길 32-3,1,200만,360도,30일,2022,35.196013,126.840743,2024-06-30
광주광역시 사회재난과,광산구 신창동 1136-1,광산구 신창로138번길 32-3,2,200만,360도,30일,2024,35.196013,126.840743,2024-06-30
광주광역시 사회재난과,광산구 신창동 1162-3,광산구 신창로162번길 69,2,200만,360도,30일,2022,35.197573,126.84424,2024-06-30
