년도,지점명칭,목적,지목,지역,면적(제곱미터),시료깊이(m),카드뮴(mg_kg),구리(mg_kg),비소(mg_kg),수은(mg_kg),납(mg_kg),6가크롬(mg_kg),아연(mg_kg),니켈(mg_kg),불소(mg_kg),유기인(mg_kg),폴리클로리네이티드비페닐(PCBs)(mg_kg),시안(mg_kg),페놀류(mg_kg),벤젠(mg_kg),톨루엔(mg_kg),에틸벤젠(mg_kg),크실렌(mg_kg),석유계총탄화수소(TPH)(mg_kg),트리클로로에틸렌(TCE)(mg_kg),테트라클로로에틸렌(PCE)(mg_kg),벤조(a)피렌(mg_kg),12디클로로에탄(mg_kg),수소이온농도(pH)
2022,동원페이퍼주식회사,산업단지 및 공장지역,공장용지,3지역,30303,30cm,1.8,14.6,7.09,0.05,25,0,95.2,9.2,345,,0,0,0,0,0,0,0,237,0,0,,0,6.5
2022,정읍시 광역매립장,폐기물 처리 및 재활용 관련 지역,잡종지(3지역),3지역,17474,30cm,2.26,37.6,5.19,0.08,32.1,0,278.4,7.2,681,,0,0,0,0,0,0,0,350,,,,,6.7
2022,㈜신성이엔티,폐기물 처리 및 재활용 관련 지역,잡종지(3지역),3지역,23130,30cm,2.11,45.6,4.95,0.04,37.2,0,335.8,9.6,223,,0,0,0,0,0,0,0,298,,,,,7
2022,㈜정원산업개발,폐기물 처리 및 재활용 관련 지역,잡종지(3지역),3지역,9452,30cm,1.66,8.2,3.76,0.02,14,0,107.3,4.9,562,,0,0,0,0,0,0,0,519,,,,,7.1
2022,대한고속,교통관련시설지역,대지(2지역),2지역,5247,30cm,1.67,23.3,3.89,0.04,25.9,0,114.1,5.7,250,,,0,,,,,,,,,,,6.8
2022,정읍시외버스공용터미널,교통관련시설지역,대지(2지역),2지역,2337,30cm,1.91,14.1,4.71,0.02,23.3,0,89.1,2.7,233,,,0,,,,,,,,,,,6.9
2022,대건어린이집 놀이터,어린이 놀이시설지역,대지(1지역),1지역,780,30cm,1.8,13.7,5.97,0.02,22,0,87.6,6.6,137,,,0,,,,,,,,,,,7
2022,새싹어린이집 놀이터,어린이 놀이시설지역,대지(1지역),1지역,640,30cm,1.71,20.3,6.62,0.15,25.1,0,98.9,7.9,142,,,0,,,,,,,,,,,7.2
2022,현정어린이집 놀이터,어린이 놀이시설지역,대지(1지역),1지역,1211,30cm,2.23,13.1,6.89,0.02,25.8,0,109.9,7.3,239,,,0,,,,,,,,,,,7.3
2022,(주)동양산업,산업단지 및 공장지역,공장용지,3지역,4945.2,0~15cm,1.91,10.4,6.03,0.03,18.2,0,87.3,8.1,309,,0,0,0,0,0,0,0,0,0,0,,0,6.8
