시도,시도명,시군구,시군구명,읍면동,읍면동명,위도,경도,평면직각좌표계_X좌표,평면직각좌표계_Y좌표,지리정보시스템아이디,상태,행정구역최소X좌표,행정구역최소Y좌표,행정구역최대X좌표,행정구역최대Y좌표
11,서울특별시,200,성동구,660,성수1가2동,37.54912679,127.0439057,203811.4302,449656.4887,11200660,Y,127.0311054,37.54415503,127.0526306,37.55324399
11,서울특별시,200,성동구,670,성수2가1동,37.53662674,127.0553516,204823.667,448269.6003,11200670,Y,127.0490428,37.52908432,127.0628105,37.54345756
11,서울특별시,200,성동구,690,성수2가3동,37.54554061,127.0581112,205066.9942,449259.0987,11200690,Y,127.0495692,37.54016984,127.067483,37.55082126
11,서울특별시,200,성동구,720,송정동,37.55231596,127.065705,205737.5451,450011.5094,11200720,Y,127.0521664,37.5480725,127.0736822,37.55943768
11,서울특별시,200,성동구,790,용답동,37.55858492,127.0578394,205042.1553,450706.848,11200790,Y,127.0421644,37.54963742,127.0736822,37.57300471
11,서울특별시,215,광진구,710,화양동,37.54341268,127.0731289,206394.331,449023.8063,11215710,Y,127.0639275,37.53880637,127.0823545,37.54829513
11,서울특별시,215,광진구,730,군자동,37.55305311,127.0736626,206440.6745,450093.8175,11215730,Y,127.067483,37.54727547,127.0794785,37.55942291
11,서울특별시,215,광진구,740,중곡1동,37.56201878,127.0777286,206799.1843,451089.1993,11215740,Y,127.0720856,37.55715071,127.0833418,37.56662519
11,서울특별시,215,광진구,750,중곡2동,37.55888736,127.0845665,207403.635,450742.1442,11215750,Y,127.0794785,37.55329093,127.0886413,37.56419003
11,서울특별시,215,광진구,760,중곡3동,37.56786943,127.082006,207176.564,451738.8733,11215760,Y,127.0758316,37.56336169,127.0869019,37.5718446
11,서울특별시,215,광진구,770,중곡4동,37.56387807,127.0944553,208276.8305,451296.8506,11215770,Y,127.086048,37.55235113,127.1041736,37.57354357
11,서울특별시,215,광진구,780,능동,37.5505883,127.0817516,207155.6866,449820.8208,11215780,Y,127.0742403,37.54509196,127.0896796,37.55715071
11,서울특별시,215,광진구,810,광장동,37.54847652,127.1050159,209211.7111,449588.3764,11215810,Y,127.0931626,37.53464881,127.1138807,37.56031506
11,서울특별시,215,광진구,820,자양1동,37.5359546,127.0804253,207039.8316,448196.5363,11215820,Y,127.0742242,37.53143545,127.0853511,37.54200025
11,서울특별시,215,광진구,830,자양2동,37.52930881,127.0832354,207288.8137,447459.1359,11215830,Y,127.0725613,37.52355909,127.0922349,37.53790692
11,서울특별시,215,광진구,840,자양3동,37.53169751,127.0711893,206223.8413,447723.397,11215840,Y,127.0652495,37.52376076,127.0771548,37.53991358
11,서울특별시,215,광진구,847,자양4동,37.53387463,127.0637671,205567.6438,447964.5847,11215847,Y,127.0565508,37.52558726,127.0705852,37.54213434
11,서울특별시,215,광진구,850,구의1동,37.54147107,127.0860344,207535.0464,448809.2311,11215850,Y,127.0812328,37.53661442,127.0906383,37.54528299
11,서울특별시,215,광진구,860,구의2동,37.55103519,127.0946014,208291.1162,449871.4425,11215860,Y,127.0850482,37.54367827,127.1042296,37.56000789
11,서울특별시,215,광진구,870,구의3동,37.5350904,127.0952224,208347.7647,448101.7873,11215870,Y,127.0890318,37.52677024,127.1031856,37.54467028
11,서울특별시,230,동대문구,536,용신동,37.5755718,127.0323393,202788.4023,452591.2327,11230536,Y,127.0231438,37.56980194,127.0453908,37.58270748
11,서울특별시,230,동대문구,545,제기동,37.58372536,127.0372081,203218.1698,453496.3295,11230545,Y,127.0294824,37.57810575,127.0440852,37.5912611
11,서울특별시,230,동대문구,560,전농1동,37.57915703,127.0510337,204439.6172,452989.8247,11230560,Y,127.042489,37.57273704,127.0577407,37.58800066
11,서울특별시,230,동대문구,570,전농2동,37.58064623,127.0611129,205329.8533,453155.6211,11230570,Y,127.0535622,37.57521579,127.068694,37.58631058
