파일명,컬럼명,null 수,범주값 길이(고정/가변),상이값 수,유일값 수,최빈값(mode),값 중복도 평균,최댓값,최솟값,평균(mean),중앙값(median),1분위수(1Q),3분위수(3Q),IQR,분산(variance),표준편차(standard deviation),범위(range),왜도(skewness),첨도(kurtosis),대분류,소분류
1_한국환경공단_석면조사대상건축물현황(공공건축물)_20231019.csv,석면건축물_일련번호,0,,33090,33090,1,1.0,33090.0,1.0,16545.5,16545.5,8273.25,24817.75,16544.5,91248432.5,9552.40454,33089.0,0.0,-1.2,환경기상,환경일반
1_한국환경공단_석면조사대상건축물현황(공공건축물)_20231019.csv,연면적,0,,25459,25459,660,1.299658274087749,269129990.0,0.0,12001.181357289654,1362.37,774.74,3040.0275,2265.2875000000004,2189362046498.596,1479649.2984821086,269129990.0,181.8532711047687,33076.36073370218,환경기상,환경일반
1_한국환경공단_석면조사대상건축물현황(공공건축물)_20231019.csv,석면자재 면적,0,,9789,9789,0,3.304525488,104589.11,0.0,256.9528802398912,0.0,0.0,108.59,108.59,1133923.332432306,1064.8583626155669,104589.11,38.18515384,3122.1566425821184,환경기상,환경일반
23_서울특별시 동작구_의류수거함 위치 데이터_20240911.csv,연번,0,,447,447,1,1.0,447.0,1.0,224.0,224.0,112.5,335.5,223.0,16688.0,129.18204209564115,446.0,0.0,-1.2,환경기상,폐기물
23_서울특별시 동작구_의류수거함 위치 데이터_20240911.csv,위도,0,,431,431,37.48858341,1.037122969837587,37.51221007,37.4764266,37.49541457445817,37.49657441,37.48712179,37.50301652,0.01589473,9.302686699788744e-05,0.009645044,0.035783468,-0.266272422,-1.031162362,환경기상,폐기물
23_서울특별시 동작구_의류수거함 위치 데이터_20240911.csv,경도,0,,431,431,126.9081937,1.037122969837587,126.9817678,126.905463,126.9482200968687,126.9470679,126.9322154,126.9680639,0.035848588,0.000384221,0.019601564,0.076304775,-0.081786121,-1.056841174,환경기상,폐기물
24_서울특별시 서대문구_의류수거함 현황_20230301.csv,연번,0,,506,506,1,1.0,506.0,1.0,253.5,253.5,127.25,379.75,252.5,21378.5,146.2138844296259,505.0,0.0,-1.2,환경기상,환경일반
24_서울특별시 서대문구_의류수거함 현황_20230301.csv,경도,0,,496,496,126.9241086,1.0201612903225807,126.9644111,126.9039967,126.93547984624504,126.9344388,126.9256764,126.9469345,0.02125805,0.000209815,0.014485001,0.0604144,-0.137298984,-0.695451587,환경기상,환경일반
24_서울특별시 서대문구_의류수거함 현황_20230301.csv,위도,0,,496,496,37.5580697,1.0201612903225807,37.6054667,37.556776,37.57850159723319,37.5805991,37.56810688,37.58618293,0.01807605,0.000137794,0.011738564,0.0486907,-0.16524636,-0.722290278,환경기상,환경일반
25_인천환경공단_청라사업소_소각시설_운영데이터_20221231.csv,생활폐기물_반입량,0,,270,270,0,1.351851851851852,940.59,0.0,299.95139726027395,332.94,0.0,450.88,450.88,43380.83664,208.2806679434659,940.59,-0.211224021,-0.818410712,환경기상,폐기물
25_인천환경공단_청라사업소_소각시설_운영데이터_20221231.csv,삼원환경_반입량,0,,1,1,0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,환경기상,폐기물
25_인천환경공단_청라사업소_소각시설_운영데이터_20221231.csv,음식협잡물_반입량,0,,1,1,0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,환경기상,폐기물
25_인천환경공단_청라사업소_소각시설_운영데이터_20221231.csv,청라반입량,0,,217,217,0,1.6820276497695852,9.96,0.0,4.402767123287672,5.09,0.0,6.95,6.95,9.128434904410677,3.021329989,9.96,-0.36159972,-1.244109505,환경기상,폐기물
25_인천환경공단_청라사업소_소각시설_운영데이터_20221231.csv,재활용잔재물_반입량,0,,1,1,0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,환경기상,폐기물
25_인천환경공단_청라사업소_소각시설_운영데이터_20221231.csv,삼산_반입량,0,,1,1,0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,환경기상,폐기물
25_인천환경공단_청라사업소_소각시설_운영데이터_20221231.csv,구월_반입량,0,,1,1,0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,환경기상,폐기물
25_인천환경공단_청라사업소_소각시설_운영데이터_20221231.csv,쓰레기소각_1호기,0,,292,292,0,1.25,211.68,0.0,150.7737808219178,179.61,170.99,184.93,13.939999999999998,4582.147638413368,67.69156253487851,211.68,-1.720752987,1.1101911411628556,환경기상,폐기물
25_인천환경공단_청라사업소_소각시설_운영데이터_20221231.csv,쓰레기소각_2호기,0,,292,292,0,1.25,208.87,0.0,148.7556986,177.33,169.28,182.65,13.370000000000005,4510.164381172662,67.15775741619625,208.87,-1.701896632,1.0368759630818674,환경기상,폐기물
25_인천환경공단_청라사업소_소각시설_운영데이터_20221231.csv,음폐수소각_1호기,0,,1,1,0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,환경기상,폐기물
