진료년도,성별,입원외래구분,행위코드,환자수,명세서청구건수,의료행위총사용량,의료행위청구금액
2023,여,외래,HA401,10227,10657,10672.35,1071885465
2023,여,외래,HA402,2958,3132,3133,484294241
2023,여,외래,HA403,1,1,1,142440
2023,여,외래,HA404,202,215,215,18008138
2023,여,외래,HA405,30548,32300,32338.35,3270086972
2023,여,외래,HA406,5675,6055,6092.9,937316840
2023,여,외래,HA408,209,220,220,19248488
2023,여,외래,HA409,22961,23607,23608.8,2415234213
2023,여,외래,HA410,1390,1413,1413,219002763
2023,여,외래,HA412,27,27,27,2107497
2023,여,외래,HA413,27197,27930,27931.9,2800369645
2023,여,외래,HA414,3655,3838,3849.85,593639206
2023,여,외래,HA416,589,656,656,55728075
2023,여,외래,HA424,142736,160283,161334.13,15906529634
2023,여,외래,HA425,44927,53034,53120,5350767595
2023,여,외래,HA434,427088,493634,496459.2,49558050121
2023,여,외래,HA435,106726,120127,121282.95,8545570507
2023,여,외래,HA441,2301,2490,2490,174072632
2023,여,외래,HA443,1916,2261,2261,187500053
2023,여,외래,HA444,30785,35231,35250,2536507595
2023,여,외래,HA445,7955,9825,9887.5,727285970
2023,여,외래,HA446,1088,1166,1175,93028683
2023,여,외래,HA447,167,179,180.25,12844286
2023,여,외래,HA448,386,436,441,32078808
2023,여,외래,HA449,91,91,91,8299438
2023,여,외래,HA451,370192,394665,395258,33027122482
2023,여,외래,HA452,7,7,7,931868
2023,여,외래,HA453,10435,11526,11044.25,812225545
2023,여,외래,HA455,8,8,8,1087650
2023,여,외래,HA456,265671,282053,282501.65,30129434144
2023,여,외래,HA457,50021,52736,52993.7,5276801508
2023,여,외래,HA458,76717,80449,80845,8063725708
2023,여,외래,HA459,14297,14554,14560.85,1727422328
2023,여,외래,HA461,14021,14696,14698.2,1891201973
2023,여,외래,HA462,1,1,1,197432
2023,여,외래,HA463,87879,102433,102477.35,15753157662
2023,여,외래,HA464,429488,626049,626025.05,94950180124
2023,여,외래,HA465,693368,861584,861701.63,130399439045
2023,여,외래,HA466,349,359,359,56921183
2023,여,외래,HA467,516,544,545,81147232
2023,여,외래,HA468,1333,1597,1601,237113812
2023,여,외래,HA469,38,73,73,13034432
2023,여,외래,HA471,1,1,1,150846
2023,여,외래,HA473,2,2,2,307418
2023,여,외래,HA476,1,1,1,161796
2023,여,외래,HA496,539605,600633,601569.05,32711599126
2023,여,외래,HA497,89949,101051,103148.15,7139715480
2023,여,외래,HA501,414,424,424,72852812
2023,여,외래,HA502,3992,4070,4070.5,698703188
2023,여,외래,HA503,80,80,80,13195916
2023,여,외래,HA504,1086,1182,1182,224353148
2023,여,외래,HA505,3214,3343,3343,569166971
2023,여,외래,HA506,4,4,4,693632
2023,여,외래,HA507,145,147,147,25157593
2023,여,외래,HA508,490,496,497,86221063
2023,여,외래,HA509,12,12,12,2127616
2023,여,외래,HA511,4221,4341,4367.5,618261349
2023,여,외래,HA513,11075,11570,11571,1988662440
2023,여,외래,HA514,9428,10247,10248,1704818635
2023,여,외래,HA515,369834,441152,441194.31,74517645217
2023,여,외래,HA516,1120,1134,1137,195572564
2023,여,외래,HA517,1663,1711,1716,277844116
2023,여,외래,HA518,2170,2235,2240,363643764
2023,여,외래,HA519,72,72,72,13625966
2023,여,외래,HA521,20262,21013,21031.1,2979795906
2023,여,외래,HA523,6447,7067,7116.85,1200738834
2023,여,외래,HA524,27448,29028,29046.66,4807329746
2023,여,외래,HA525,30509,32607,32613.2,5407450342
2023,여,외래,HA526,13439,13891,13932.7,2430760829
2023,여,외래,HA527,36446,37815,38036,6190013302
2023,여,외래,HA528,40137,41437,41665,6779584501
2023,여,외래,HA529,1318,1345,1345,260660855
2023,여,외래,HA531,88000,89382,88711.3,12506391564
2023,여,외래,HA533,42086,42518,42034.6,7077838013
